Suburb,Postcode,Lat,Lng,Domain_id,medianSoldPrice,numberSold,highestSoldPrice,lowestSoldPrice,medianSaleListingPrice,numberSaleListing,highestSaleListingPrice,lowestSaleListingPrice,auctionNumberAuctioned,auctionNumberSold,auctionNumberWithdrawn,daysOnMarket,medianRentListingPrice,numberRentListing,highestRentListingPrice,lowestRentListingPrice
Blind Bight,3980,-38.2092442,145.3917982,4777,,,,,,,,,,,,,,,,
Blowhard,3352,-37.7122033,143.8671868,4797,,,,,,,,,,,,,,,,
Bochara,3301,-37.7255033,141.8945505,4827,,,,,,,,,,,,,,,,
Bogong,3699,-36.8124613,147.3270485,4837,,,,,,,,,,,,,,,,
Boho,3669,-36.6078959,145.7133909,4857,,,,,,,,,,,,,,,,
Boho South,3669,-36.6078959,145.7133909,4867,,,,,,,,,,,,,,,,
Boigbeat,3531,-35.6512854,142.9170407,4877,,,,,,,,,,,,,,,,
Boinka,3490,-35.3571245,141.5991643,4887,,,,,,,,,,,,,,,,
Boisdale,3860,-37.6951451,146.9661233,4907,,,,,,,,,,,,,,,,
Bolangum,3387,-36.8204775,142.8312661,63647,,,,,,,,,,,,,,,,
Bolinda,3432,-37.439438,144.7741635,4927,,,,,,,,,,,,,,,,
Bolton,3546,-35.0979662,142.9599661,4937,,,,,,,,,,,,,,,,
Bona Vista,3820,-38.1692482,145.9469958,4987,,,,,,,,,,,,,,,,
Bonbeach,3196,-38.048116,145.1210303,5007,,,,,,,,,,,,,,,,
Bonegilla,3691,-36.2373927,146.9661233,5027,,,,,,,,,,,,,,,,
Boneo,3939,-38.4218526,144.8951287,5047,,,,,,,,,,,,,,,,
Bonn,3561,-36.3317046,144.6533747,5057,,,,,,,,,,,,,,,,
Bonnie Doon,3720,-37.0207039,145.8690603,5067,,,,,,,,,,,,,,,,
Boolarong,3960,-38.9962856,146.3376699,5107,,,,,,,,,,,,,,,,
Boolarra,3870,-38.4631226,146.3600438,5117,,,,,,,,,,,,,,,,
Boolarra South,3870,-38.4631226,146.3600438,5127,,,,,,,,,,,,,,,,
Boole Poole,3880,-37.9215501,147.7573,5147,,,,,,,,,,,,,,,,
Boolite,3392,-36.4286658,142.5745556,63667,,,,,,,,,,,,,,,,
Boomahnoomoonah,3728,-36.1554528,145.9135867,5167,,,,,,,,,,,,,,,,
Boonah,3235,-38.455233,143.9324048,5177,,,,,,,,,,,,,,,,
Boorhaman North,3685,-36.0564816,146.4495924,5227,,,,,,,,,,,,,,,,
Boorool,3953,-38.4586497,146.002705,5247,,,,,,,,,,,,,,,,
Boort,3537,-36.0772722,143.6935405,5267,,,,,,,,,,,,,,,,
Boosey,3730,-36.0520717,145.8913207,5277,,,,,,,,,,,,,,,,
Boralma,3682,-36.1723841,146.4495924,5287,,,,,,,,,,,,,,,,
Bornes Hill,3379,-37.5195066,142.6172766,5297,,,,,,,,,,,,,,,,
Boronia,3155,-37.8610682,145.2867055,5327,,,,,,,,,,,,,,,,
Borung,3518,-36.424265,143.6068646,5357,,,,,,,,,,,,,,,,
Bostocks Creek,3260,-38.1491105,143.1319209,5377,,,,,,,,,,,,,,,,
Botanic Ridge,3977,-38.1347885,145.2811778,71157,,,,,,,,,,,,,,,,
Boundary Bend,3599,-34.7507483,143.1104044,5397,,,,,,,,,,,,,,,,
Bowenvale,3465,-37.0550295,143.6935405,5407,,,,,,,,,,,,,,,,
Boweya,3675,-36.5103613,146.1812023,5417,,,,,,,,,,,,,,,,
Boweya North,3675,-36.5103613,146.1812023,5427,,,,,,,,,,,,,,,,
Bowmans Forest,3735,-36.5231859,146.5840737,5447,,,,,,,,,,,,,,,,
